Index,Balance,Price,Q,Name,UID,Bounty,Q_Max,Time
390,418.0,100.0,99,25% BONUSES (READ),104683,25,3,2017-01-22 18:12:33.364000
394,215.0,100.0,80,LEALD 12%ALL 210/TIX,141054,12,1,2017-01-22 18:12:33.364000
399,12076.0,100.0,20,+25%FOILS +10/20%ALL,93487,25,96,2017-01-22 18:12:33.364000
400,8084.0,100.0,20,+10% BOUNTY ON ALL!,7034,10,73,2017-01-22 18:12:33.364000
404,530.0,100.0,1,DIBIMTG 20%TIX,169443,20,4,2017-01-22 18:12:33.364000
406,18093.0,100.0,50,20% EXTRA FOR TIX,151714,20,150,2017-01-22 18:12:33.364000
407,12446.0,100.0,75,DAVERS +10% ALL,89776,10,113,2017-01-22 18:12:33.364000
408,33415.0,100.0,99,+50% ON MTGO TIX,126309,50,222,2017-01-22 18:12:33.364000
409,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
420,58769.0,100.0,99,20% BONUS FOR NM/M,96972,20,489,2017-01-22 18:12:33.364000
421,9853.0,100.0,99,20% BONUS TIX MTGO,27929,20,82,2017-01-22 18:12:33.364000
428,38158.0,100.0,99,THANTY +50% BONUS,25925,50,254,2017-01-22 18:12:33.364000
431,43294.0,100.0,10,50% OR MORE BOUNTIES,26522,50,288,2017-01-22 18:12:33.364000
432,14330.0,100.0,50,KHASI +20% MTGO,75318,20,119,2017-01-22 18:12:33.364000
434,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
435,3599.0,100.0,50,KONDA - 25% BONUS,107198,25,28,2017-01-22 18:12:33.364000
438,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
439,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
440,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
456,2019.0,100.0,50,+100% MTGO TICKETS,88878,100,10,2017-01-22 18:12:33.364000
458,21547.0,100.0,43,+50% ON SAHEELI!,123699,50,143,2017-01-22 18:12:33.364000
459,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
465,24400.0,100.0,99,IPUGSLEY 30% CRD BNS,2474,30,187,2017-01-22 18:12:33.364000
467,2243.0,100.0,50,40% BONUS ON TICKETS,94099,40,16,2017-01-22 18:12:33.364000
469,6336.0,100.0,99,40% TIX REST 20-100%,81190,100,31,2017-01-22 18:12:33.364000
470,683.0,100.0,10,+15%-60% ONALL CWMTG,142401,60,4,2017-01-22 18:12:33.364000
471,5870.0,100.0,99,THACO +50% ON ALL!,90501,50,39,2017-01-22 18:12:33.364000
476,8281.0,100.0,99,+40%! SEE PROFILE,29599,40,59,2017-01-22 18:12:33.364000
477,2560.0,100.0,73,TIX+100% PLZ READ,10063,100,12,2017-01-22 18:12:33.364000
478,41316.0,100.0,99,10-15%BONUS FOR LAND,79689,15,359,2017-01-22 18:12:33.364000
479,5630.0,100.0,14,MTGO +30%,149880,30,43,2017-01-22 18:12:33.364000
481,3535.0,100.0,10,+25% ON ALL WANTS.,974,25,28,2017-01-22 18:12:33.364000
484,9352.0,100.0,99,DARXIDE (+20% - 25%),53835,25,74,2017-01-22 18:12:33.364000
486,157204.0,100.0,99,+30% MTGO/+20% PAPER,7323,30,1209,2017-01-22 18:12:33.364000
491,34518.0,100.0,12,+25% BOUNTY MTGO TOO,170056,25,276,2017-01-22 18:12:33.364000
492,1326.0,100.0,99,45% MTGO 100% TIX,92554,100,6,2017-01-22 18:12:33.364000
495,3300.0,100.0,36,KAMIKEN 50% BONUS,587,50,22,2017-01-22 18:12:33.364000
496,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
497,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
498,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
499,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
500,426.0,100.0,50,FITNERD + 100%TIX,19056,100,2,2017-01-22 18:12:33.364000
505,340.0,100.0,10,PEDROFULL 30%BONUS*,163565,30,2,2017-01-22 18:12:33.364000
511,32805.0,100.0,99,10% BONUS MTGO CARDS,32523,10,298,2017-01-22 18:12:33.364000
512,9853.0,100.0,99,20% BONUS TIX MTGO,27929,20,82,2017-01-22 18:12:33.364000
513,9853.0,100.0,99,20% BONUS TIX MTGO,27929,20,82,2017-01-22 18:12:33.364000
515,8193.0,100.0,97,CR BONUS 30% MTGO,6130,30,63,2017-01-22 18:12:33.364000
518,21894.0,100.0,99,DRE (+20% ALL),104807,20,182,2017-01-22 18:12:33.364000
521,2827.0,100.0,18,PYROTRON 41%EVENTTIX,160095,41,20,2017-01-22 18:12:33.364000
531,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
532,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
533,10619.0,100.0,34,EDOEDO 20% BONUS ALL,171047,20,88,2017-01-22 18:12:33.364000
534,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
539,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
541,32874.0,100.0,99,+30% ALL WANTS!!,37605,30,252,2017-01-22 18:12:33.364000
543,3694.0,100.0,99,500TICKET/+20% PAPER,167648,20,30,2017-01-22 18:12:33.364000
547,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
548,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
549,13383.0,100.0,50,INDRANEEL +25% MTGO,85844,25,107,2017-01-22 18:12:33.364000
555,6256.0,100.0,30,SHINGO +10%,6638,10,56,2017-01-22 18:12:33.364000
556,1037.0,100.0,50,25% BONUS SEND PLZ,50093,25,8,2017-01-22 18:12:33.364000
557,3067.0,100.0,99,+10% ALL CARDZ,81088,10,27,2017-01-22 18:12:33.364000
559,153043.0,100.0,99,!!! 30% ON WANTS !!!,97912,30,1177,2017-01-22 18:12:33.364000
565,4853.0,100.0,10,+15% ALL/+20% LANDS,94300,20,40,2017-01-22 18:12:33.364000
569,13484.0,100.0,99,41% MTGO 81% TIXS,104806,81,74,2017-01-22 18:12:33.364000
574,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
575,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
576,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
577,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
579,38025.0,100.0,99,30% MTGO WANTS,42242,30,292,2017-01-22 18:12:33.364000
580,4733.0,100.0,68,KURTCES 10%ALL WANTS,82231,10,43,2017-01-22 18:12:33.364000
582,6414.0,100.0,50,10% ON ALL WNTS,54423,10,58,2017-01-22 18:12:33.364000
587,33118.0,100.0,1,JOBEN 20%,91280,20,275,2017-01-22 18:12:33.364000
590,74641.0,100.0,30,RATHJI 10% OR RECIP,36439,10,678,2017-01-22 18:12:33.364000
591,1692.0,100.0,50,WOODEND 25% ON MTGO,1803,25,13,2017-01-22 18:12:33.364000
594,63957.0,100.0,61,+100% ON MTGO,21442,100,319,2017-01-22 18:12:33.364000
597,25236.0,100.0,99,+50%MTGO / +120%TIX!,49304,120,114,2017-01-22 18:12:33.364000
600,7451.0,100.0,30,VAGABUNDO 100% TIX,39556,100,37,2017-01-22 18:12:33.364000
601,45048.0,100.0,1,WKDWRLOCK 30% BNTY,5620,30,346,2017-01-22 18:12:33.364000
603,864.0,100.0,20,30% BONUS ON DORAN,144635,30,6,2017-01-22 18:12:33.364000
605,37411.0,100.0,75,+35% ON ALL WANTS!,124236,35,277,2017-01-22 18:12:33.364000
